,Recation_time,Mn,Mw,pdi,Dpn,Recation_time_round,add_time,Temperature,mode
5385,5399.64,3295.22,3957.22,1.2009,31.6392,5400,0.1,383.15,1
6103,6119.54,3597.06,4288.05,1.1921,34.5373,6120,0.1,383.15,1
6822,6840.22,3886.3,4606.45,1.18531,37.3144,6840,0.1,383.15,1
7540,7560.04,4161.03,4910.01,1.18,39.9523,7560,0.1,383.15,1
8258,8279.82,4427.23,5203.84,1.17542,42.5082,8280,0.1,383.15,1
8975,8998.58,4683.39,5487.81,1.17176,44.9677,8999,0.1,383.15,1
5379,5399.51,4011.27,5013.17,1.24977,38.5143,5400,0.5,383.15,1
6098,6120.16,4359.2,5350.99,1.22752,41.855,6120,0.5,383.15,1
6816,6839.87,4686.83,5674.5,1.21073,45.0008,6840,0.5,383.15,1
7534,7559.63,4991.82,5979.81,1.19792,47.9292,7560,0.5,383.15,1
8253,8280.32,5283.6,6274.12,1.18747,50.7307,8280,0.5,383.15,1
8970,8998.99,5560.27,6557.13,1.17928,53.3872,8999,0.5,383.15,1
5369,5400.22,3992.85,5582.06,1.39802,38.3375,5400,0.9,383.15,1
6087,6119.81,4375.01,5891.7,1.34667,42.0068,6120,0.9,383.15,1
6805,6839.55,4723.99,6189.16,1.31016,45.3575,6840,0.9,383.15,1
7524,7560.25,5051.21,6476.56,1.28218,48.4994,7560,0.9,383.15,1
8242,8279.88,5358.12,6754.67,1.26064,51.4462,8280,0.9,383.15,1
8959,8998.61,5645.27,7021.67,1.24381,54.2033,8999,0.9,383.15,1
5357,5399.57,3818,6316.67,1.65445,36.6587,5400,1.3,383.15,1
6076,6120.25,4250.09,6562.99,1.5442,40.8074,6120,1.3,383.15,1
6794,6839.96,4634.72,6816.39,1.47072,44.5004,6840,1.3,383.15,1
7512,7559.61,4988.24,7067.78,1.41689,47.8947,7560,1.3,383.15,1
8231,8280.27,5315.01,7314.89,1.37627,51.0322,8280,1.3,383.15,1
8948,8998.9,5619.67,7556.99,1.34474,53.9575,8999,1.3,383.15,1
5343,5399.5,3956.69,7334.15,1.85361,37.9903,5400,1.7,383.15,1
5344,5400.5,3957.51,7334.43,1.85329,37.9982,5400,1.7,383.15,1
